Hogar;Sector;Zona;Comuna;DirCoordX;DirCoordY;Fecha;DiaAsig;TipoDia;Temporada;NumPer;NumVeh;NumBicAdulto;NumBicNino;Propiedad;MontoDiv;ImputadoDiv;MontoArr;ImputadoArr;IngresoHogar;Factor
153791;3;292;LAS CONDES;353596,1517;6301705,729;04-05-2013;sábado;2;1;2;1;98;98;1;;0;356474;1;785276;63,796185
153800;3;308;LAS CONDES;358737,6312;6302832,604;06-11-2012;martes;1;1;7;4;2;4;1;;0;829428;1;1866553;220,865997
153811;3;295;LAS CONDES;356151,2645;6301369,985;03-12-2012;lunes;1;1;3;1;0;0;1;;0;394984;1;680363;55,784988
153821;3;288;LAS CONDES;351446,525;6301070,151;11-10-2013;viernes;1;1;1;1;0;0;1;;0;514744;1;1042461;44,857822
153831;3;288;LAS CONDES;351446,525;6301070,151;11-10-2013;viernes;1;1;1;1;1;0;3;;0;485633;1;876516;44,857822
153841;3;295;LAS CONDES;356466,7134;6302108,716;10-11-2012;sábado;2;1;5;2;0;2;1;;0;453880;1;1234066;210,822891
153851;3;292;LAS CONDES;353660,1841;6301947,782;14-09-2013;sábado;2;1;2;0;0;0;7;;0;356946;1;748575;173,070267
153861;3;307;LAS CONDES;353550,6252;6302037,724;14-09-2013;sábado;2;1;2;2;0;0;1;;0;456069;1;1005750;166,498001
153871;3;307;LAS CONDES;353550,6252;6302037,724;14-09-2013;sábado;2;1;1;1;0;0;1;;0;370393;1;248888;52,832478
153881;3;297;LAS CONDES;356280,437;6303454,524;11-02-2013;lunes;1;2;5;3;0;0;3;;0;800000;0;1547186;233,393829
153891;3;290;LAS CONDES;352809,6884;6300488,117;05-04-2013;viernes;1;1;2;1;0;0;1;;0;600000;0;2742857;85,493576
153901;3;290;LAS CONDES;352813,4982;6300474,649;13-04-2013;sábado;2;1;4;2;1;0;1;;0;552177;1;1439096;362,728851
153911;3;290;LAS CONDES;352819,848;6300452,202;05-04-2013;viernes;1;1;3;2;1;0;1;;0;492694;1;835586;308,695679
153921;3;290;LAS CONDES;352835,0873;6300398,33;09-04-2013;martes;1;1;2;0;1;0;3;;0;387572;1;1196046;231,932526
153931;3;323;LAS CONDES;356682,6102;6300326,097;10-02-2013;domingo;2;2;2;0;0;0;3;;0;354588;1;1180691;318,282593
153941;3;305;LAS CONDES;354410,1713;6299845,362;16-11-2012;viernes;1;1;2;1;0;0;3;;0;280000;0;465558;34,425854
153951;3;305;LAS CONDES;354450,5885;6299941,165;16-11-2012;viernes;1;1;3;1;0;0;2;250000;0;400000;0;780400;49,288239
153961;3;305;LAS CONDES;354340,0089;6299934,423;16-11-2012;viernes;1;1;2;2;0;0;1;;0;478571;1;736538;86,820641
153971;3;305;LAS CONDES;354470,6207;6299847,889;16-11-2012;viernes;1;1;3;0;3;0;1;;0;372778;1;1375239;133,712250
153981;3;305;LAS CONDES;354251,6838;6299929,991;12-03-2013;martes;1;1;4;2;2;0;1;;0;337385;1;0;146,060638
153991;3;294;LAS CONDES;357593,1041;6301426,583;31-05-2013;viernes;1;1;2;2;0;0;1;;0;579824;1;1665622;115,912598
154000;3;297;LAS CONDES;356722,2049;6303229,611;14-08-2012;martes;1;1;4;2;1;0;1;;0;695452;1;2299105;183,011703
154011;3;304;LAS CONDES;353360,7286;6300608,872;27-03-2013;miércoles;1;1;4;2;2;0;1;;0;474341;1;871890;157,611435
