Hogar;Vehiculo;TipoVeh;MarcaVeh;ModeloVeh;AnoVeh;EdadVehiculo;CilindradaVeh;Combustible;SelloVerde;Propiedad
108271;10827102;1;84;ALTO;2009;2;1300;1;2;1
108281;10828101;3;65;PARTNER;2006;3;1600;1;2;1
108321;10832101;1;17;CORSA;2007;2;1600;1;2;1
108331;10833101;1;61;V16;2006;3;1600;1;2;1
108361;10836101;1;86;YARIS;2009;2;1600;1;2;1
108371;10837101;1;17;CACTIVA;2011;1;2600;1;2;1
108381;10838101;1;37;ACCENT;2010;1;1300;1;2;1
108401;10840101;1;84;ALTO;2007;2;1300;1;2;1
108481;10848101;2;158;SR100;2010;1;450;1;2;1
108490;10849001;1;65;405;1994;5;1800;1;2;1
108531;10853101;1;86;COROLLA;1990;5;1800;1;1;1
108591;10859101;1;45;POP;1999;4;1300;1;2;1
108603;10860301;2;123;NO SABE;9998;9;99998;1;2;1
108621;10862101;2;171;SCOTTER;2008;2;125;1;2;1
108631;10863101;1;37;ACCENT;2011;1;1300;1;2;1
108631;10863103;1;17;CORSA;2008;2;1300;1;2;1
108631;10863102;2;111;250;2010;1;150;1;2;1
108651;10865101;1;17;OPTRA;2012;1;1800;1;2;1
108661;10866101;1;31;CORSA;2010;1;1600;1;2;1
108681;10868101;1;17;AVEO;2012;1;1800;1;2;1
108701;10870101;1;61;V16;2008;2;1600;1;2;1
108721;10872101;1;86;YARIS;2010;1;1600;1;2;1
108741;10874101;1;17;CHEVET;2010;1;1500;1;2;1
108751;10875101;1;45;POP;1997;4;1600;1;2;1
108751;10875102;1;87;GOLS;2011;1;1800;1;2;1
108761;10876101;1;30;EXPLORER;2010;1;2300;2;2;1
108781;10878101;1;37;SONATA;2012;1;1800;1;2;1
108821;10882101;1;17;CORSA;2011;1;1800;1;2;1
108831;10883101;3;45;SORENTO;2012;1;2000;1;2;1
108851;10885101;1;45;MORNING;2005;3;1300;1;2;1
108861;10886101;1;84;BALENO;1990;5;2000;1;2;1
108881;10888101;1;86;YARIS;2011;1;1600;1;2;1
108881;10888102;1;17;SPARK;2012;1;1600;1;2;1
108891;10889101;1;37;ACCENT;2006;3;1300;1;2;1
108891;10889102;1;37;ACCENT;2010;1;1300;1;2;1
108941;10894101;1;84;ALTO;2007;2;1300;1;2;1
108951;10895101;1;29;PALIO;2007;2;1300;1;2;1
108971;10897102;1;17;CORSA;2011;1;1800;1;2;1
108971;10897101;1;37;ACCENT;2010;1;1600;1;2;1
108981;10898101;1;86;YARIS;2000;4;1300;1;2;1
108992;10899201;1;45;RIO;2010;1;1800;1;2;1
