Viaje;DistEuclidiana;DistManhattan;Imputada
1005410103;1657;1999;0
1005410104;1657;1999;0
1005410105;1657;1999;0
1005410106;1657;1999;0
1005410201;556;-1;1
1005410202;279;-1;1
1005410401;642;-1;1
1005410402;273;-1;1
1005410403;372;-1;1
1005410404;554;-1;1
1005620101;34288;43971;0
1005620102;1994;2231;0
1005620103;33419;41740;0
1005620201;-1;-1;0
1005620202;-1;-1;0
1005710101;2473;2763;0
1005710102;2473;2763;0
1005710201;2474;2765;0
1005710202;2474;2765;0
1005710301;2446;2851;0
1005710302;2446;2851;0
1005710401;2178;2287;0
1005710402;2178;2287;0
1005710501;2210;2346;0
1005710502;2210;2346;0
1005820101;593;779;0
1005820102;593;779;0
1005820201;31672;38053;0
1005820202;31672;38053;0
1005920101;27967;34343;0
1005920102;27967;34343;0
1005920103;903;1277;0
1005920104;903;1277;0
1005920201;1090;1542;0
1005920202;1090;1542;0
1005920301;903;1277;0
1005920302;903;1277;0
1006010101;2060;2134;0
1006010102;2060;2134;0
1006010103;1472;1749;0
1006010104;137;189;0
1006010105;1378;1707;0
1006010201;9879;10601;0
1006010301;1472;1749;0
1006010302;137;189;0
1006010303;1378;1707;0
1006010401;1472;1749;0
1006010402;137;189;0
1006010403;1378;1707;0
1006110101;9336;10526;0
1006110102;9336;10526;0
1006110301;1538;1742;0
1006110302;1538;1742;0
1006110401;1014;1392;0
1006110402;1014;1392;0
1006200101;-1;-1;0
1006200102;-1;-1;0
1006200301;1522;1951;0
1006200302;1522;1951;0
1006200303;-1;-1;0
1006200304;-1;-1;0
1006200401;4839;4854;0
1006200402;4839;4854;0
1006200403;-1;-1;0
1006200404;-1;-1;0
1006200501;4558;6033;0
1006200502;4558;6033;0
1006200701;-1;-1;0
1006200702;-1;-1;0
1006200703;-1;-1;0
1006200704;-1;-1;0
1006310101;956;1352;0
1006310102;956;1352;0
1006310201;31829;37440;0
1006310202;31829;37440;0
1006420101;13230;18502;0
1006420102;13230;18502;0
1006420201;6549;8012;0
1006420202;6549;8012;0
1006420301;7436;10396;0
1006420302;7436;10396;0
1006420401;13230;18502;0
1006420402;13230;18502;0
1006510101;593;733;0
1006510102;593;733;0
1006610101;1562;-1;1
1006610102;1787;-1;1
1006610103;1211;-1;1
1006610201;6185;6803;0
1006610202;6185;6803;0
1006610203;665;-1;1
1006610204;1596;-1;1
1006720101;33153;39122;0
1006720102;33153;39122;0
1006720201;30650;36965;0
1006720202;30650;36965;0
1006720301;2364;2715;0
1006720302;2364;2715;0
1006720401;707;974;0
1006720402;707;974;0
1006720501;183;-1;1
1006720502;1525;-1;1
1006720601;1057;-1;1
1006720602;280;-1;1
1006810101;646;823;0
1006810102;646;823;0
1006810201;8137;8741;0
1006810202;8137;8741;0
1006810301;33691;40302;0
1006810302;33691;40302;0
1006810401;32142;36815;0
1006810402;32142;36815;0
1006920101;14187;19975;0
1006920102;14187;19975;0
1006920201;14187;19975;0
1006920202;14187;19975;0
1007020101;-1;-1;0
1007020102;-1;-1;0
1007020103;-1;-1;0
1007020104;-1;-1;0
1007120101;34466;43655;0
1007120102;34466;43655;0
1007120201;1371;1550;0
1007120202;1371;1550;0
1007120301;281;-1;1
1007120302;517;-1;1
1007200101;3199;3627;0
