REGION;PROVINCIA;COMUNA;DC;AREA;ZONA;NOM_URBANO;CAT;REGION_15R;PROVINCIA_15R;COMUNA_15R
13;131;13122;5;1;2;PEÑALOLÉN;1;13;131;13122
13;131;13122;5;1;3;PEÑALOLÉN;1;13;131;13122
13;131;13122;5;1;4;PEÑALOLÉN;1;13;131;13122
13;131;13122;5;1;5;PEÑALOLÉN;1;13;131;13122
13;131;13122;6;1;1;PEÑALOLÉN;1;13;131;13122
13;131;13122;6;1;2;PEÑALOLÉN;1;13;131;13122
13;131;13122;6;1;3;PEÑALOLÉN;1;13;131;13122
13;131;13122;6;1;4;PEÑALOLÉN;1;13;131;13122
13;131;13122;7;1;1;PEÑALOLÉN;1;13;131;13122
13;131;13122;7;1;2;PEÑALOLÉN;1;13;131;13122
13;131;13122;7;1;3;PEÑALOLÉN;1;13;131;13122
13;131;13122;7;1;4;PEÑALOLÉN;1;13;131;13122
13;131;13122;7;1;5;PEÑALOLÉN;1;13;131;13122
13;131;13122;8;1;1;PEÑALOLÉN;1;13;131;13122
13;131;13122;8;1;2;PEÑALOLÉN;1;13;131;13122
13;131;13122;8;1;3;PEÑALOLÉN;1;13;131;13122
13;131;13122;8;1;4;PEÑALOLÉN;1;13;131;13122
13;131;13122;9;1;1;PEÑALOLÉN;1;13;131;13122
13;131;13122;9;1;2;PEÑALOLÉN;1;13;131;13122
13;131;13122;9;1;3;PEÑALOLÉN;1;13;131;13122
13;131;13122;9;1;4;PEÑALOLÉN;1;13;131;13122
13;131;13122;10;1;1;PEÑALOLÉN;1;13;131;13122
13;131;13122;10;1;2;PEÑALOLÉN;1;13;131;13122
13;131;13122;10;1;3;PEÑALOLÉN;1;13;131;13122
13;131;13122;10;1;4;PEÑALOLÉN;1;13;131;13122
13;131;13122;10;1;5;PEÑALOLÉN;1;13;131;13122
13;131;13122;11;1;1;PEÑALOLÉN;1;13;131;13122
13;131;13122;11;1;2;PEÑALOLÉN;1;13;131;13122
13;131;13122;11;1;3;PEÑALOLÉN;1;13;131;13122
13;131;13122;11;1;4;PEÑALOLÉN;1;13;131;13122
13;131;13122;11;1;5;PEÑALOLÉN;1;13;131;13122
13;131;13123;1;1;1;PROVIDENCIA;1;13;131;13123
13;131;13123;1;1;2;PROVIDENCIA;1;13;131;13123
13;131;13123;1;1;3;PROVIDENCIA;1;13;131;13123
13;131;13123;1;1;4;PROVIDENCIA;1;13;131;13123
13;131;13123;1;1;5;PROVIDENCIA;1;13;131;13123
13;131;13123;1;1;6;PROVIDENCIA;1;13;131;13123
13;131;13123;1;1;7;PROVIDENCIA;1;13;131;13123
13;131;13123;1;1;8;PROVIDENCIA;1;13;131;13123
13;131;13123;2;1;1;PROVIDENCIA;1;13;131;13123
13;131;13123;2;1;2;PROVIDENCIA;1;13;131;13123
13;131;13123;2;1;3;PROVIDENCIA;1;13;131;13123
