s2_cellid,EDUARDO ARTES BRICHETTI,GABRIEL BORIC FONT,JOSE ANTONIO KAST RIST,MARCO ENRIQUEZ-OMINAMI GUMUCIO,FRANCO PARISI FERNANDEZ,YASNA PROVOSTE CAMPILLAY,SEBASTIAN SICHEL RAMIREZ,Votos Blancos,Votos Nulos
10836439346664439808,0.0189873417721519,0.3012658227848101,0.26540084388185653,0.08270042194092828,0.04388185654008439,0.12278481012658228,0.15864978902953586,0.0016877637130801688,0.004641350210970464
10836439449743654912,0.022982186056740708,0.32658895975368374,0.19496371233780516,0.13228502309214868,0.09753683747525842,0.11095227622608313,0.1045744446888058,0.003628766219485375,0.006487794149989004
10836439484103393280,0.023605150214592276,0.39899856938483547,0.21859799713876968,0.07281831187410587,0.06709585121602289,0.0988555078683834,0.10972818311874107,0.00357653791130186,0.006723891273247497
10836439518463131648,0.021432646076114416,0.43036427349034306,0.22060141797734495,0.05191100969766115,0.046858446744356616,0.08051503544943363,0.13959742482275284,0.002363295574932768,0.006356450167060549
10836439587182608384,0.01818181818181818,0.32300556586270873,0.26567717996289425,0.07977736549165121,0.05139146567717996,0.12764378478664193,0.12356215213358071,0.003339517625231911,0.0074211502782931356
10836439621542346752,0.02099370188943317,0.3908327501749475,0.21028691392582224,0.0815255423372988,0.07697690692792163,0.10671798460461862,0.10496850944716585,0.0017494751574527643,0.005948215535339398
10836439724621561856,0.021498919048762912,0.3432620706221475,0.24957963007446554,0.08827768436223878,0.06053326927696373,0.09932740811914485,0.12803266874849867,0.002522219553206822,0.006966130194571223
10836439758981300224,0.017202072538860105,0.3144041450777202,0.2667357512953368,0.08538860103626943,0.04435233160621762,0.10590673575129533,0.15419689119170985,0.002487046632124352,0.00932642487046632
10836439793341038592,0.018021547502448578,0.3288932419196866,0.2664054848188051,0.0881488736532811,0.060920666013712044,0.10675808031341821,0.12125367286973555,0.0021547502448579824,0.0074436826640548485
10836439965139730432,0.022662311147407105,0.342588811759902,0.19987750102082483,0.1212739893834218,0.08105349122090649,0.10984075132707227,0.1143323805634953,0.002245814618211515,0.006124948958758677
10836440033859207168,0.016523867809057527,0.32558139534883723,0.20899632802937576,0.10526315789473684,0.09455324357405141,0.12209302325581395,0.1153610771113831,0.004589963280293758,0.007037943696450428
10836440102578683904,0.025738396624472575,0.39324894514767933,0.24556962025316456,0.06751054852320675,0.05189873417721519,0.09831223628691983,0.11265822784810127,0.002953586497890295,0.002109704641350211
10836440205657899008,0.023695054945054944,0.36504120879120877,0.23866758241758243,0.08104395604395605,0.05666208791208791,0.09134615384615384,0.13392857142857142,0.004120879120879121,0.005494505494505495
10836440240017637376,0.019357336430507164,0.40185830429732866,0.2353852109949671,0.051877661633759196,0.05265195509097948,0.08517228029423152,0.143244289585753,0.003097173828881146,0.007355787843592722
10836440274377375744,0.021646773214646975,0.42883876188549463,0.2239024883673882,0.04384988873153955,0.057151527412502526,0.07080720210398543,0.1462168723447299,0.002326522354845236,0.005259963584867489
10836440308737114112,0.017765233272455588,0.3554706956666113,0.2171675244894571,0.09413913332226465,0.06691017765233273,0.11273451768221816,0.12485472355968787,0.0028225136974929436,0.008135480657479661
