Id;RecorridoTransantiago
9958;111C (METRO) PAJARITOS - PUDAHUEL SUR (RECORRIDO CORTO)
9960;D17 ALTO MACUL - (METRO) QUILIN
9965;I18 SALVADOR ALLENDE - (METRO) ULA
9967;109 (METRO) QUINTA NORMAL - MAIPU
9976;207C LA GRANJA - LA PINTANA (RECORRIDO CORTO)
9983;G13 (METRO) LA CISTERNA - EL CASTILLO
9994;F03 (METRO) PLAZA PUENTE ALTO - PLAZA DE SAN BER
10036;302 QUINTA NORMAL - SAN RAMON
10045;E08 DIEGO PORTALES - (METRO) BELLAVISTA DE LA FL
10059;E12 SANTA ROSA P18 - DIEGO PORTALES
10063;B14 EL SALTO - MAPOCHO
10065;B08 LO MARCOLETA - MALL PLAZA NORTE
10072;H09 POBL. DAVILA - (METRO) CARLOS VALDOVINOS
10080;H17 SAN ALFONSO - POSTA CENTRAL
10082;H15 POBL. LAS TURBINAS - ESTACIÓN CENTRAL
10090;H11C (METRO) LO OVALLE - SANTA OLGA (RECORRIDO CORTO)
10096;H08 POBL. LAS TURBINAS - (METRO) LO OVALLE
10103;H11 (METRO) LO OVALLE - MALL PLAZA OESTE
10107;H18 VILLA ALEGRE - (METRO) LO OVALLE
10110;H06 POBL. LAS TURBINAS - AV. MATTA
10113;H12 LO ESPEJO - (METRO) FRANKLIN
10114;H13 SANTA OLGA - POSTA CENTRAL
10121;H02 (METRO) CARLOS VALDOVINOS - (METRO) LO VIAL
10122;H04 (METRO) CARLOS VALDOVINOS - LA VICTORIA
10124;H14 MALL FLORIDA CENTER - (METRO) FRANKLIN
10132;H03 (METRO) LO OVALLE - LO ESPEJO
10134;H10 LO ESPEJO - MALL FLORIDA CENTER
10137;H05 (METRO) CARLOS VALDOVINOS - POB. DAVILA
10153;H01 AV. MATTA - MALL FLORIDA CENTER
10158;H05C (METRO) DEPARTAMENTAL - POBL. DAVILA (RECORRIDO CORTO)
10163;H07 (METRO) RONDIZZONI - (METRO) LO OVALLE
10168;D09 DIAGONAL LAS TORRES - (METRO) MANUEL MONTT
10170;217E EXPRESO MAESTRANZA - (METRO) SANTA ANA
10179;301 JUAN ANTONIO RÖOS - ANGELMÓ
10182;301C (METRO) LA CISTERNA - ANGELMÓ (RECORRIDO CORTO)
10185;302E EXPRESO (METRO) LOS HEROES - SAN RAMON
10191;308 LO MARCOLETA - MAPOCHO
10193;204 ALAMEDA - GABRIELA
10194;204E EXPRESO ALAMEDA - GABRIELA
10199;211 LA FLORIDA - NOS
10200;211E EXPRESO LA FLORIDA - SAN BERNARDO
10245;I01 VILLA LOS HEROES - HOSPITAL BORJA ARRIAR
10250;I11 CIUDAD SATELITE - PLAZA MAIPU
10259;F10 SAN GULLERMO - MALL PLAZA TOBALABA
10267;F25 BAJOS DE MENA - (METRO) BELLAVISTA DE LA FLO
10284;222E EXPRESO PUENTE ALTO - (METRO) SANTA ANA
10291;F16 VILLA PADRE HURTADO - (METRO) PLAZA PUENTE A
10352;J09 (METRO) SANTA ANA - ENEA
10353;J19 PUDAHUEL SUR - (METRO) SANTA ANA
10361;B12 (METRO) ZAPADORES - LO MARCOLETA
10367;307 LO MARCOLETA - PLAZA ITALIA
10368;315E EXPRESO RIGOBERTO JARA - PLAZA ITALIA
10372;F07 MALL PLAZA TOBALABA - VILLA PADRE HURTAD
10397;D07 DIAGONAL LAS TORRES - (METRO) FRANKLIN
10404;223 CIUDAD EMPRESARIAL - LO ESPEJO
10405;C06 VITAL APOQUINDO - (METRO) TOBALABA
10408;C12 CAMINO JUAN PABLO II - CANTAGALLO
10410;C16 VITAL APOQUINDO - EL HUINGANAL
10412;415E EXPRESO (METRO) PUDAHUEL - (METRO) MANQUEHUE
10417;417E EXPRESO MAIPU - (METRO) MANQUEHUE
10424;420E EXPRESO (METRO) ESCUELA MILITAR - LO HERMIDA
10428;425 RIGOBERTO JARA - LO HERMIDA
10432;425C QUILICURA - (METRO) ESCUELA MILITAR (RECORRIDO CORTO)
10433;425E EXPRESO QUILICURA - (METRO) ESCUELA MILITAR
10437;427C (METRO) ESCUELA MILITAR - HOSPITAL DIPRECA (RECORRIDO CORTO)
10440;429 LO ECHEVERS - LO HERMIDA
10443;428E EXPRESO QUILICURA - (METRO) LA CISTERNA
10445;428 QUILICURA - (METRO) LA CISTERNA
10446;428C PUDAHUEL - (METRO) LA CISTERNA (RECORRIDO CORTO)
10459;J10 ENEA - PARQUE DE LOS REYES
10466;402 PUDAHUEL - MAPOCHO
10472;J17 (METRO) PAJARITOS - PUERTO SANTIAGO
10474;J07E EXPRESO NOVICIADO - (METRO) PUDAHUEL
10475;J07 NOVICIADO - (METRO) PUDAHUEL
10478;F23 VILLA PADRE HURTADO - MALL PLAZA TOBALAB
10485;F06 (METRO) LA CISTERNA - PIE ANDINO
10499;F01 VILLA PADRE HURTADO - CASAS VIEJAS
10501;226 MAPOCHO - NONATO COO
10502;205C LA GRANJA - PUENTE ALTO (RECORRIDO CORTO)
10509;F13 BAJOS DE MENA - MALL PLAZA TOBALABA
10514;F15 BAJOS DE MENA - (METRO) ELISA CORREA
10523;213 (METRO) HOSP. SOTERO DEL RIO - PLAZA ITALIA
10524;F20 (METRO) LA CISTERNA - PIE ANDINO
10554;221E EXPRESO PUENTE ALTO - MATUCANA
10559;406 PUDAHUEL - CANTAGALLO
10560;426 PUDAHUEL - LA DEHESA
10564;403 (METRO) SANTA ANA - LA REINA
10572;422 POBL. TENIENTE MERINO - PLAZA ITALIA
10583;509 MAIPU - CENTRO
10584;506 MAIPU - PEÑALOLEN
10585;506E EXPRESO MAIPU - PEÑALOLEN
10599;120 RENCA - (METRO) LA CISTERNA
10602;105 RENCA - LO ESPEJO
10603;105C2 (METRO) QUINTA NORMAL - LO ESPEJO (RECORRIDO CORTO)
10610;J13 (METRO) ESTACIÓN CENTRAL - COSTANERA SUR
10611;J14 ESTACION CENTRAL - PUDAHUEL SUR
10641;I14 MALL PLAZA OESTE - ESTACION CENTRAL
10656;210 ESTACION CENTRAL - PUENTE ALTO
10689;424 PUDAHUEL SUR - SANTIAGO
10692;I09 RINCONADA - (METRO) ULA
10693;I09E EXPRESO RINCONADA - (METRO) ULA
10694;404 EL DESCANSO - MAPOCHO
10695;412 (METRO) SAN PABLO - LA REINA
10696;404C EL DESCANSO - METRO UNIVERSIDAD DE CHILE (RECORRIDO CORTO)
10697;419 VILLA LOS HEROES - PLAZA ITALIA
10698;413 MAIPU - PROVIDENCIA
10699;401 MAIPU - LAS CONDES
10700;421 MAIPU - SAN CARLOS DE APOQUINDO
10701;431 NUEVA SAN MARTIN - PLAZA ITALIA
10702;418 ENEA - AV. TOBALABA
10704;I09C RINCONADA - (METRO) LAS REJAS (RECORRIDO CORTO)
10706;I08C LA FARFANA - (METRO) LAS REJAS (RECORRIDO CORTO)
10708;431C NUEVA SAN MARTIN - (METRO) SAN ALBERTO HURTADO (RECORRIDO CORTO)
10709;413C AVENIDA PORTALES - (METRO) SAN ALBERTO HURTADO (RECORRIDO CORTO)
10710;I03C VALLE VERDE - (METRO) SAN ALBERTO HURTADO (RECORRIDO CORTO)
